,Location,London_borough,Post town,Postcode district,Latitude,Longitude
1,Abbey Wood,"Bexley, Greenwich [7]",LONDON,SE2,51.51324000000005,-0.2674599999999714
2,Acton,"Ealing, Hammersmith and Fulham[8]",LONDON,"W3, W4",51.38475500000004,-0.051498623999975734
3,Addington,Croydon[8],CROYDON,CR0,51.38475500000004,-0.051498623999975734
4,Addiscombe,Croydon[8],CROYDON,CR0,51.452067760578885,0.1722299153689439
5,Albany Park,Bexley,"BEXLEY, SIDCUP","DA5, DA14",51.50642000000005,-0.1272099999999341
6,Aldborough Hatch,Redbridge[9],ILFORD,IG2,51.51200000000006,-0.08057999999994081
7,Aldgate,City[10],LONDON,EC3,51.51651000000004,-0.11967999999995982
8,Aldwych,Westminster[10],LONDON,WC2,51.50642000000005,-0.1272099999999341
9,Alperton,Brent[11],WEMBLEY,HA0,51.41009000000008,-0.05682999999993399
10,Anerley,Bromley[11],LONDON,SE20,51.523610000000076,-0.09876999999994496
11,Angel,Islington[8],LONDON,"EC1, N1",51.27172802817503,0.07471050704375404
12,Aperfield,Bromley[11],WESTERHAM,TN16,51.56393000000003,-0.12944999999996298
13,Archway,Islington[12],LONDON,N19,51.58370000000008,0.17476000000004888
14,Ardleigh Green,Havering[12],HORNCHURCH,RM11,51.615680000000054,-0.2451099999999542
15,Arkley,Barnet[12],"BARNET, LONDON","EN5, NW7",51.63429000000008,-0.13365999999996347
16,Arnos Grove,Enfield[12],LONDON,"N11, N14",51.44822000000005,-0.1483899999999494
17,Balham,Wandsworth[13],LONDON,SW12,51.499600000000044,-0.09612999999995964
18,Bankside,Southwark[14],LONDON,SE1,51.523610000000076,-0.09876999999994496
19,Barbican,City[14],LONDON,EC1,51.53312000000005,0.08407653200004006
20,Barking,Barking and Dagenham[14],BARKING,IG11,51.50642000000005,-0.1272099999999341
21,Barkingside,Redbridge[15],ILFORD,IG6,51.47052000000008,0.14670637700004363
22,Barnehurst,Bexley[15],BEXLEYHEATH,DA7,51.47457000000003,-0.24211999999994305
23,Barnes,Richmond upon Thames[15],LONDON,SW13,51.452067760578885,0.1722299153689439
24,Barnes Cray,Bexley[16],DARTFORD,DA1,51.615680000000054,-0.2451099999999542
25,Barnet Gate,Barnet,"LONDON, BARNET","NW7, EN5",51.64441500000004,-0.17918542799992565
26,"Barnet (also Chipping Barnet, High Barnet)",Barnet[16],BARNET,EN5,51.53792000000004,-0.09982999999994036
27,Barnsbury,Islington[17],LONDON,N1,51.46760000000006,-0.16289999999997917
28,Battersea,Wandsworth[18],LONDON,SW11,51.51494000000008,-0.1804799999999318
29,Bayswater,Westminster[19],LONDON,W2,51.41009000000008,-0.05682999999993399
30,Beckenham,Bromley[20],"BECKENHAM, LONDON","BR3, SE20",51.50913000000003,0.015280000000075233
31,Beckton,Newham[20],"LONDON, BARKING","E6, E16, IG11",51.50642000000005,-0.1272099999999341
32,Becontree,Barking and Dagenham[20],DAGENHAM,RM9,51.50642000000005,-0.1272099999999341
33,Becontree Heath,Barking and Dagenham[21],DAGENHAM,RM8,51.38475500000004,-0.051498623999975734
34,Beddington,Sutton[21],"WALLINGTON, CROYDON","SM6, CR0",51.48944000000006,-0.26193999999992457
35,Bedford Park,Ealing[21],LONDON,W4,51.49713000000003,-0.13828999999992675
36,Belgravia,Westminster[22],LONDON,SW1,51.43722000000008,-0.018679999999960728
37,Bellingham,Lewisham[22],LONDON,SE6,51.62043771181625,-0.30130161650491155
38,Belmont,Harrow[22],"HARROW, STANMORE","HA3, HA7",51.50642000000005,-0.1272099999999341
39,Belmont,Sutton[22],SUTTON,SM2,51.555060000000026,-0.1734799999999268
40,Belsize Park,Camden[23],LONDON,NW3,51.48547000000008,0.14300741500005643
41,Belvedere,Bexley[23],BELVEDERE,DA17,51.499600000000044,-0.09612999999995964
42,Bermondsey,Southwark[24],LONDON,SE1,51.50642000000005,-0.1272099999999341
43,Berrylands,Kingston upon Thames[24],SURBITON,KT5,51.52669000000003,-0.06256999999993695
44,Bethnal Green,Tower Hamlets[25],LONDON,E2,51.50642000000005,-0.1272099999999341
45,"Bexley (also Old Bexley, Bexley Village)",Bexley[25],BEXLEY,DA5,51.492450000000076,0.12127000000003818
46,Bexleyheath (also Bexley New Town),Bexley[26],"BEXLEYHEATH, LONDON","DA6, DA7, SE2",51.415095000000065,-0.035402759999954014
47,Bickley,Bromley[26],BROMLEY,BR3,51.27172802817503,0.07471050704375404
48,Biggin Hill,Bromley[26],WESTERHAM,TN16,51.45228085561464,0.09979729725390507
49,Blackfen,Bexley[27],SIDCUP,DA15,51.51389000000006,-0.10433999999997923
50,Blackfriars,City[27],LONDON,EC4,51.47138000000007,0.023380000000031487
51,Blackheath,Lewisham[28],LONDON,SE3,51.44759000000005,0.013500000000021828
52,Blackheath Royal Standard,Greenwich,LONDON,"SE3, SE12",51.51122000000004,-0.012639999999976226
53,Blackwall,Tower Hamlets[28],LONDON,E14,51.60203000000007,-0.6346699999999714
54,Blendon,Bexley,BEXLEY,DA 5,51.524500000000046,-0.12272999999993317
55,Bloomsbury,Camden[29],LONDON,WC1,51.65366000000006,-0.11061428599992951
56,Botany Bay,Enfield[30],ENFIELD,EN2,51.60214000000008,-0.11222999999995409
57,Bounds Green,Haringey[31],LONDON,"N11, N22",51.52702000000005,-0.02593999999993457
58,Bow,Tower Hamlets[31],LONDON,E3,51.60214000000008,-0.11222999999995409
59,Bowes Park,Haringey[32],LONDON,N22,51.48770100000007,-0.29779338999992433
60,Brentford,Hounslow[33],BRENTFORD,TW8,51.58912000000004,-0.2280999999999267
61,Brent Cross,Barnet,LONDON,"NW2, NW4",51.53916000000004,-0.2512299999999641
62,Brent Park,Brent,LONDON,NW10,51.64322000000004,-0.04379024499996831
63,Brimsdown,Enfield[34],ENFIELD,EN3,51.47480000000007,-0.09312999999997373
64,Brixton,Lambeth[34],LONDON,"SW2, SW9, SE5",51.462680000000034,-0.035579999999924894
65,Brockley,Lewisham[34],LONDON,SE4,51.41671000000008,0.00904221200005395
66,Bromley,Bromley[35],BROMLEY,BR1,51.52702000000005,-0.02593999999993457
67,Bromley (also Bromley-by-Bow),Tower Hamlets[36],LONDON,E3,51.415095000000065,-0.035402759999954014
68,Bromley Common,Bromley[35],BROMLEY,BR3,51.49014000000005,-0.16247999999995955
69,Brompton,Kensington and ChelseaHammersmith and Fulham[36],LONDON,SW3,51.541870000000074,-0.1979499999999348
70,Brondesbury,Brent[36],LONDON,NW6,51.616310000000055,-0.1383899999999585
71,Brunswick Park,Barnet[37],LONDON,N11,51.64322000000004,-0.04379024499996831
72,Bulls Cross,Enfield[38],ENFIELD,"EN2, EN3",51.604025000000036,-0.2626288639999643
73,Burnt Oak,Barnet[39],EDGWARE,HA8,51.58912000000004,-0.2280999999999267
74,"Burroughs, The",Barnet[39],LONDON,NW4,51.47480000000007,-0.09312999999997373
75,Camberwell,Southwark[40],LONDON,SE5,51.52669000000003,-0.06256999999993695
76,Cambridge Heath,Tower Hamlets[40],LONDON,E2,51.53354000000007,-0.1460599999999772
77,Camden Town,Camden[40],LONDON,NW1,51.51122000000004,-0.012639999999976226
78,Canary Wharf,Tower Hamlets[40],LONDON,E14,51.576760000000036,0.027230000000031396
79,Cann Hall,Waltham Forest[41],LONDON,E11,51.50913000000003,0.015280000000075233
80,Canning Town,Newham[41],LONDON,E16,51.53792000000004,-0.09982999999994036
81,Canonbury,Islington[41],LONDON,N1,51.50642000000005,-0.1272099999999341
82,Carshalton,Sutton[42],CARSHALTON,SM5,51.47457000000003,-0.24211999999994305
83,Castelnau,Richmond upon Thames[43],LONDON,SW13,51.50642000000005,-0.1272099999999341
84,Castle Green,Barking and Dagenham,DAGENHAM,RM9,51.43722000000008,-0.018679999999960728
85,Catford,Lewisham,LONDON,SE6,51.572889625701485,0.14752774971940058
86,Chadwell Heath,"Redbridge, Barking and Dagenham",ROMFORD,RM6,51.53354000000007,-0.1460599999999772
87,Chalk Farm,Camden,LONDON,NW1,51.51651000000004,-0.11967999999995982
88,Charing Cross,Westminster,LONDON,WC2,51.48759000000007,0.02912000000003445
89,Charlton,Greenwich,LONDON,SE7,51.50642000000005,-0.1272099999999341
90,Chase Cross,Havering,ROMFORD,RM5,51.36164530800005,-0.22356999999993832
91,Cheam,Sutton,SUTTON/MERTON,"SM1 (PARTIAL)SM2, SM3",51.49014000000005,-0.16247999999995955
92,Chelsea,Kensington and Chelsea,LONDON,SW3,51.50642000000005,-0.1272099999999341
93,Chelsfield,Bromley,ORPINGTON,BR6,51.50642000000005,-0.1272099999999341
94,Chessington,Kingston upon Thames,CHESSINGTON,KT9,51.562370000000044,-0.22130999999995993
95,Childs Hill,Barnet,LONDON,NW2,51.51656000000003,-0.14769999999992933
96,Chinatown,Westminster,LONDON,W1,51.44759000000005,0.013500000000021828
97,Chinbrook,Lewisham,LONDON,SE12,51.617800000000045,-0.009339999999951942
98,Chingford,Waltham Forest,LONDON,E4,51.413275000000056,0.0874730970000428
99,Chislehurst,Bromley,CHISLEHURST,BR7,51.48944000000006,-0.26193999999992457
100,Chiswick,"Hounslow, Ealing, Hammersmith and Fulham",LONDON,W4,51.53916000000004,-0.2512299999999641
101,Church End,Brent,LONDON,NW10,51.60104000000007,-0.19400999999993473
102,Church End,Barnet,LONDON,N3,51.46095000000008,-0.13921999999996615
103,Clapham,"Lambeth, Wandsworth",LONDON,SW4,51.523610000000076,-0.09876999999994496
104,Clerkenwell,Islington,LONDON,EC1,51.50642000000005,-0.1272099999999341
105,Cockfosters,"Barnet, Enfield",BARNET,EN4,51.58486000000005,-0.24880999999993492
106,Colindale,Barnet,LONDON,NW9,51.50642000000005,-0.1272099999999341
107,Collier Row,Havering,ROMFORD,RM5,51.421700000000044,-0.2079599999999573
108,Colliers Wood,Merton,LONDON,SW19,51.59107000000006,-0.14851999999996224
109,Colney Hatch,Barnet,LONDON,"N11, N10",51.50642000000005,-0.1272099999999341
110,Colyers,Bexley,ERITH,DA8,51.50642000000005,-0.1272099999999341
111,Coney Hall,Bromley,WEST WICKHAM,BR4,51.38475500000004,-0.051498623999975734
112,Coombe,Croydon,CROYDON,CR0,51.41087440213694,-0.2919463207868962
113,Coombe,Kingston upon Thames,KINGSTON UPON THAMES,KT2,51.50642000000005,-0.1272099999999341
114,Coulsdon,Croydon,COULSDON,CR5,51.51651000000004,-0.11967999999995982
115,Covent Garden,Westminster,LONDON,WC2,51.50642000000005,-0.1272099999999341
116,Cowley,Hillingdon,UXBRIDGE,UB8,51.50642000000005,-0.1272099999999341
117,Cranford,Hounslow,HOUNSLOW,TW5,51.54307422088052,0.25011357808526574
118,Cranham,Havering,UPMINSTER,RM14,51.452067760578885,0.1722299153689439
119,Crayford,Bexley,DARTFORD,DA1,51.53312000000005,0.08407653200004006
120,Creekmouth,Barking and Dagenham,BARKING,IG11,51.65366000000006,-0.11061428599992951
121,Crews Hill,Enfield,ENFIELD,EN2,51.562370000000044,-0.22130999999995993
122,Cricklewood,"Barnet, Brent, Camden",LONDON,NW2,51.462680000000034,-0.035579999999924894
123,Crofton Park,Lewisham,LONDON,SE4,51.50642000000005,-0.1272099999999341
124,Crook Log,Bexley,BEXLEYHEATH,DA6,51.492450000000076,0.12127000000003818
125,Crossness,Bexley,LONDON,SE2,51.58170000000007,-0.12092999999993026
126,Crouch End,Haringey,LONDON,N8,51.38475500000004,-0.051498623999975734
127,Croydon,Croydon,CROYDON,CR0,51.42674000000005,-0.05532999999996946
128,Crystal Palace,Bromley,LONDON,"SE19, SE20, SE26",51.51122000000004,-0.012639999999976226
129,Cubitt Town,Tower Hamlets,LONDON,E14,51.345030070448836,0.13272550539320627
130,Cudham,Bromley,SEVENOAKS,TN14,51.50913000000003,0.015280000000075233
131,Custom House,Newham,LONDON,E16,51.50642000000005,-0.1272099999999341
132,Dagenham,Barking and Dagenham,DAGENHAM,"RM9, RM10",51.54505000000006,-0.05531999999993786
133,Dalston,Hackney,LONDON,E8,51.50642000000005,-0.1272099999999341
134,Dartford,Dartford,LONDON,DA5,51.53792000000004,-0.09982999999994036
135,De Beauvoir Town,Islington,LONDON,N1,51.47480000000007,-0.09312999999997373
136,Denmark Hill,Southwark,LONDON,SE5,51.48114000000004,-0.02466999999995778
137,Deptford,Lewisham,LONDON,SE8,51.50642000000005,-0.1272099999999341
138,Derry Downs,Bromley,ORPINGTON,BR5,51.562370000000044,-0.22130999999995993
139,Dollis Hill,Brent,LONDON,NW2,51.50642000000005,-0.1272099999999341
140,Downe,Bromley,ORPINGTON,BR6,51.41671000000008,0.00904221200005395
141,Downham,Lewisham,BROMLEY,BR1,51.44100000000003,-0.08896999999996069
142,Dulwich,Southwark,LONDON,SE21,51.514530000000036,-0.31950999999997975
143,Ealing,Ealing,LONDON,"W5, W13",51.48563000000007,-0.1814399999999523
144,Earls Court,Kensington and Chelsea,LONDON,"SW5, SW10",51.45066000000003,-0.18996999999995978
145,Earlsfield,Wandsworth,LONDON,SW18,51.50642000000005,-0.1272099999999341
146,East Barnet,Barnet,BARNET,EN4,51.448444494776844,-0.44849227524521545
147,East Bedfont,Hounslow,FELTHAM,TW14,51.45256000000006,-0.0707599999999502
148,East Dulwich,Southwark,LONDON,SE22,51.589270000000056,-0.16394999999994297
149,East Finchley,Barnet,LONDON,N2,51.53292000000005,0.05461000000002514
150,East Ham,Newham,LONDON,E6,51.46482000000003,-0.26590999999996257
151,East Sheen,Richmond upon Thames,LONDON,SW14,51.45907500000004,0.0991206960000568
152,East Wickham,Bexley,WELLING,DA16,51.61291065511444,-0.37696639802957227
153,Eastcote,Hillingdon,PINNER,"HA5, HA4",51.415095000000065,-0.035402759999954014
154,Eden Park,Bromley,BECKENHAM,BR3,51.604025000000036,-0.2626288639999643
155,Edgware,Barnet,EDGWARE,HA8,51.613740000000064,-0.0645999999999276
156,Edmonton,Enfield,LONDON,"N9, N18",51.45374249766627,-0.32996134872866295
157,Eel Pie Island,Richmond upon Thames,TWICKENHAM,TW1,51.49084000000005,-0.11107999999995855
158,Elephant and Castle,Southwark,LONDON,"SE1, SE11, SE17",51.50642000000005,-0.1272099999999341
159,Elm Park,Havering,HORNCHURCH,RM12,51.415095000000065,-0.035402759999954014
160,Elmers End,Bromley,BECKENHAM,BR3,51.413275000000056,0.0874730970000428
161,Elmstead,Bromley,CHISLEHURST,BR7,51.444630000000075,0.05212000000005901
162,Eltham,Greenwich,LONDON,SE9,51.58370000000008,0.17476000000004888
163,Emerson Park,Havering,HORNCHURCH,RM11,51.64322000000004,-0.04379024499996831
164,Enfield Highway,Enfield,ENFIELD,EN3,51.64322000000004,-0.04379024499996831
165,Enfield Lock,Enfield,ENFIELD,EN3,51.65366000000006,-0.11061428599992951
166,Enfield Town,Enfield,ENFIELD,"EN1, EN2",51.64322000000004,-0.04379024499996831
167,Enfield Wash,Enfield,ENFIELD,EN3,51.498845000000074,0.1466047580000236
168,Erith,Bexley,ERITH,"DA8, DA18",51.444630000000075,0.05212000000005901
169,Falconwood,"Bexley, Greenwich","LONDON, WELLING","SE9, DA16",51.523610000000076,-0.09876999999994496
170,Farringdon,Islington & City,LONDON,EC1,51.44729925950719,-0.32846611197998826
171,Feltham,Hounslow,FELTHAM,"TW13, TW14",51.615920000000074,-0.1767399999999384
172,Finchley,Barnet,LONDON,"N2, N3, N12",51.523610000000076,-0.09876999999994496
173,Finsbury,Islington,LONDON,EC1,51.56878000000006,-0.09846999999996342
174,Finsbury Park,"Haringey, Islington",LONDON,N4,51.51656000000003,-0.14769999999992933
175,Fitzrovia,Camden,LONDON,W1,51.452067760578885,0.1722299153689439
176,Foots Cray,Bexley,SIDCUP,DA14,51.54668000000004,0.025580000000047676
177,Forest Gate,Newham,LONDON,E7,51.441220000000044,-0.047639999999944393
178,Forest Hill,Lewisham,LONDON,SE23,51.38475500000004,-0.051498623999975734
179,Forestdale,Croydon,CROYDON,CR0,51.59107000000006,-0.14851999999996224
180,Fortis Green,Haringey,LONDON,N10,51.64322000000004,-0.04379024499996831
181,Freezywater,Enfield,ENFIELD,EN3,51.616310000000055,-0.1383899999999585
182,Friern Barnet,Barnet,LONDON,N11,51.555060000000026,-0.1734799999999268
183,Frognal,Camden,LONDON,NW3,51.47772000000003,-0.2014499999999657
184,Fulham,Hammersmith and Fulham,LONDON,SW6,51.45271782514859,-0.3301007034737104
185,Fulwell,Richmond upon Thames,"TEDDINGTON, HAMPTON","TW11, TW12",51.47587015960119,0.2760657531204305
186,Gallows Corner,Havering,ROMFORD,"RM2, RM3",51.50642000000005,-0.1272099999999341
187,Gants Hill,Redbridge,ILFORD,IG2,51.47587015960119,0.2760657531204305
188,Gidea Park,Havering,ROMFORD,RM2,51.43407000000008,-0.10374999999993406
189,Gipsy Hill,Lambeth,LONDON,"SE19, SE27",51.50642000000005,-0.1272099999999341
190,Goddington,Bromley,ORPINGTON,BR6,51.576730000000055,-0.19694999999995844
191,Golders Green,Barnet,LONDON,NW11,51.50642000000005,-0.1272099999999341
192,Goodmayes,Redbridge,ILFORD,IG3,51.555060000000026,-0.1734799999999268
193,Gospel Oak,Camden,LONDON,"NW5, NW3",51.58486000000005,-0.24880999999993492
194,Grahame Park,Barnet,LONDON,NW9,51.63519000000008,-0.09302999999994199
195,Grange Park,Enfield,LONDON,N21,51.50642000000005,-0.1272099999999341
196,Greenford,Ealing,GREENFORD,UB6,51.48454000000004,0.002750000000048658
197,Greenwich,Greenwich,LONDON,SE10,51.48944000000006,-0.26193999999992457
198,Grove Park,Hounslow,LONDON,W4,51.44759000000005,0.013500000000021828
199,Grove Park,Lewisham,LONDON,SE12,51.48944000000006,-0.26193999999992457
200,Gunnersbury,Hounslow,LONDON,W4,51.529675000000054,-0.08347027899992554
201,Hackney,Hackney,LONDON,"E5, E8, E9, N1, N16",51.54505000000006,-0.05531999999993786
202,Hackney Central,Hackney,LONDON,E8,51.53777000000008,-0.04479999999995243
203,Hackney Marshes,Hackney,LONDON,E9,51.53777000000008,-0.04479999999995243
204,Hackney Wick,Hackney,LONDON,E9,51.50642000000005,-0.1272099999999341
205,Hadley Wood,Enfield,BARNET,EN4,51.52669000000003,-0.06256999999993695
206,Haggerston,Hackney,LONDON,E2,51.50642000000005,-0.1272099999999341
207,Hainault,Redbridge,CHIGWELL,IG7,51.615680000000054,-0.2451099999999542
208,The Hale,Barnet,LONDON,NW7,51.44075000000004,-0.28208817499995575
209,Ham,Richmond upon Thames,RICHMOND,TW10,51.49617000000006,-0.22934999999995398
210,Hammersmith,Hammersmith and Fulham,LONDON,W6,51.555060000000026,-0.1734799999999268
211,Hampstead,Camden,LONDON,NW3,51.589270000000056,-0.16394999999994297
212,Hampstead Garden Suburb,Barnet,LONDON,N2,51.50642000000005,-0.1272099999999341
213,Hampton,Richmond upon Thames,HAMPTON,TW12,51.50642000000005,-0.1272099999999341
214,Hampton Hill,Richmond upon Thames,HAMPTON,TW12,51.35142941071637,-0.24988108535584375
215,Hampton Wick,Richmond upon Thames,KINGSTON UPON THAMES,KT1,51.50878000000006,-0.3362999999999374
216,Hanwell,Ealing,LONDON,W7,51.44864734579377,-0.3294047593453292
217,Hanworth,Hounslow,FELTHAM,TW13,51.50642000000005,-0.1272099999999341
218,Harefield,Hillingdon,UXBRIDGE,UB9,51.53916000000004,-0.2512299999999641
219,Harlesden,Brent,LONDON,NW10,51.50510549999999,-0.4275742499999865
220,Harlington,Hillingdon,HAYES,UB3,51.50642000000005,-0.1272099999999341
221,Harmondsworth,Hillingdon,WEST DRAYTON,UB7,51.50642000000005,-0.1272099999999341
222,Harold Hill,Havering,ROMFORD,RM3,51.50642000000005,-0.1272099999999341
223,Harold Park,Havering,ROMFORD,RM3,51.50642000000005,-0.1272099999999341
224,Harold Wood,Havering,ROMFORD,RM3,51.58151000000004,-0.07589999999993324
225,Harringay,Haringey,LONDON,"N4, N8, N15",51.567890615208455,-0.3394832478241024
226,Harrow,Harrow,HARROW,HA1,51.567890615208455,-0.3394832478241024
227,Harrow on the Hill,Harrow,HARROW,HA1,51.50642000000005,-0.1272099999999341
228,Harrow Weald,Harrow,HARROW,HA3,51.61291065511444,-0.37696639802957227
229,Hatch End,Harrow,PINNER,HA5,51.448444494776844,-0.44849227524521545
230,Hatton,Hounslow,FELTHAM,TW14,51.66208623796546,0.18662121631421688
231,Havering-atte-Bower,Havering,ROMFORD,RM4,51.50642000000005,-0.1272099999999341
232,Hayes,Bromley,BROMLEY,BR2,51.50510549999999,-0.4275742499999865
233,Hayes,Hillingdon,HAYES,"UB3, UB4",51.50642000000005,-0.1272099999999341
234,Hazelwood,Bromley,ORPINGTON,BR6,51.58912000000004,-0.2280999999999267
235,Hendon,Barnet,LONDON,NW4,51.45529000000005,-0.09927999999996473
236,Herne Hill,Lambeth,LONDON,SE24,51.50642000000005,-0.1272099999999341
237,Heston,Hounslow,HOUNSLOW,TW5,51.617800000000045,-0.009339999999951942
238,Highams Park,Waltham Forest,LONDON,E4,51.553180000000054,-0.09838999999993803
239,Highbury,Islington,LONDON,N5,51.57145000000003,-0.14982999999995172
240,Highgate,Camden,LONDON,N6,51.50642000000005,-0.1272099999999341
241,Hillingdon,Hillingdon,UXBRIDGE,"UB8, UB10",51.46196000000003,-0.007539999999949032
242,Hither Green,Lewisham,LONDON,SE13,51.524500000000046,-0.12272999999993317
243,Holborn,Camden,LONDON,"WC1, WC2",51.512440000000026,-0.20638999999994212
244,Holland Park,Kensington and Chelsea,LONDON,"W8, W11, W14",51.55457000000007,-0.11477999999993926
245,Holloway,Islington,LONDON,N7,51.53777000000008,-0.04479999999995243
246,Homerton,Hackney,LONDON,E9,51.441220000000044,-0.047639999999944393
247,Honor Oak,Lewisham,LONDON,SE23,51.50642000000005,-0.1272099999999341
248,Hook,Kingston upon Thames,CHESSINGTON,KT9,51.50642000000005,-0.1272099999999341
249,Hornchurch,Havering,HORNCHURCH,"RM11, RM12",51.44759000000005,0.013500000000021828
250,Horn Park,"Greenwich, Lewisham",LONDON,SE12,51.58170000000007,-0.12092999999993026
251,Hornsey,Haringey,LONDON,N8,51.471390726355075,-0.3513748870497065
252,Hounslow,Hounslow,HOUNSLOW,TW3,51.53792000000004,-0.09982999999994036
253,Hoxton,Hackney,LONDON,N1,51.58486000000005,-0.24880999999993492
254,The Hyde,Barnet,LONDON,NW9,51.50642000000005,-0.1272099999999341
255,Ickenham,Hillingdon,UXBRIDGE,UB10,51.55116000000004,0.07895962300005976
256,Ilford,Redbridge,ILFORD,IG1,51.51122000000004,-0.012639999999976226
257,Isle of Dogs,Tower Hamlets,LONDON,E14,51.474388935888705,-0.3439650135885245
258,Isleworth,Hounslow,ISLEWORTH,TW7,51.53792000000004,-0.09982999999994036
259,Islington,Islington,LONDON,N1,51.50642000000005,-0.1272099999999341
260,Kenley,Croydon,KENLEY,CR8,51.49084000000005,-0.11107999999995855
261,Kennington,"Lambeth, Southwark",LONDON,SE11,51.53916000000004,-0.2512299999999641
262,Kensal Green,Brent,LONDON,"NW10, NW6",51.49807000000004,-0.17403999999993403
263,Kensington,Kensington and Chelsea,LONDON,SW7,51.55570000000006,-0.13925999999997885
264,Kentish Town,Camden,LONDON,NW5,51.50642000000005,-0.1272099999999341
265,Kenton,"Brent, Harrow","HARROW, LONDON",HA3,51.50642000000005,-0.1272099999999341
266,Keston,Bromley,KESTON,BR2,51.50642000000005,-0.1272099999999341
