,Location,London_borough,Post town,Postcode district,Latitude,Longitude
267,Kew,Richmond upon Thames,RICHMOND,TW9,51.47138000000007,0.023380000000031487
268,Kidbrooke,Greenwich,LONDON,SE3,51.541870000000074,-0.1979499999999348
269,Kilburn,"Brent, Camden",LONDON,NW6,51.524500000000046,-0.12272999999993317
270,King's Cross,Camden and Islington,LONDON,WC1,51.58486000000005,-0.24880999999993492
271,Kingsbury,Brent,LONDON,NW9,51.457550000000026,-0.21844999999996162
272,Kingston Vale,Kingston upon Thames,LONDON,SW15,51.41087440213694,-0.2919463207868962
273,Kingston upon Thames,Kingston upon Thames,KINGSTON UPON THAMES,"KT1, KT2",51.49713000000003,-0.13828999999992675
274,Knightsbridge,Westminster,LONDON,SW1,51.46196000000003,-0.007539999999949032
275,Ladywell,Lewisham,LONDON,"SE4, SE13",51.499600000000044,-0.09612999999995964
276,Lambeth,Lambeth,LONDON,SE1,51.45228085561464,0.09979729725390507
277,Lamorbey,Bexley,SIDCUP,DA15,51.50642000000005,-0.1272099999999341
278,Lampton,Hounslow,HOUNSLOW,TW4,51.558850000000064,-0.00732999999996764
279,Lea Bridge,Hackney,LONDON,E10,51.51122000000004,-0.012639999999976226
280,Leamouth,Tower Hamlets,LONDON,E14,51.50642000000005,-0.1272099999999341
281,Leaves Green,Bromley,KESTON,BR2,51.44759000000005,0.013500000000021828
282,Lee,Lewisham,LONDON,SE12,51.48547000000008,0.14300741500005643
283,Lessness Heath,Bexley,BELVEDERE,DA17,51.46196000000003,-0.007539999999949032
284,Lewisham,Lewisham,LONDON,SE13,51.558850000000064,-0.00732999999996764
285,Leyton,Waltham Forest,LONDON,"E10, E15",51.576760000000036,0.027230000000031396
286,Leytonstone,Waltham Forest,LONDON,E11,51.51122000000004,-0.012639999999976226
287,Limehouse,Tower Hamlets,LONDON,E14,51.53398000000004,-0.17377999999996518
288,Lisson Grove,Westminster,LONDON,NW8,51.552410000000066,0.05258000000003449
289,Little Ilford,Newham,LONDON,E12,51.525870000000054,-0.19525999999996202
290,Little Venice,Westminster,LONDON,"W9, W2",51.50642000000005,-0.1272099999999341
291,Locksbottom,Bromley,ORPINGTON,BR6,51.50642000000005,-0.1272099999999341
292,Longford,Hillingdon,WEST DRAYTON,UB7,51.444630000000075,0.05212000000005901
293,Longlands,Bexley,"LONDON, SIDCUP","SE9, DA14, DA15",51.558970000000045,-0.05322999999992817
294,Lower Clapton,Hackney,LONDON,E5,51.392201353000075,-0.2159499999999639
295,Lower Morden,Merton,MORDEN,SM4,51.55116000000004,0.07895962300005976
296,Loxford,Redbridge,ILFORD,IG1,51.525870000000054,-0.19525999999996202
297,Maida Vale,Westminster,LONDON,W9,51.50642000000005,-0.1272099999999341
298,Malden Rushett,Kingston upon Thames,CHESSINGTON,KT9,51.56878000000006,-0.09846999999996342
299,Manor House,Hackney,LONDON,N4,51.552410000000066,0.05258000000003449
300,Manor Park,Newham,LONDON,E12,51.572889625701485,0.14752774971940058
301,Marks Gate,Barking and Dagenham,ROMFORD,RM6,51.540140000000065,0.0027800000000297587
302,Maryland,Newham,LONDON,E15,51.51656000000003,-0.14769999999992933
303,Marylebone (also St Marylebone),Westminster,LONDON,W1,51.51656000000003,-0.14769999999992933
304,Mayfair,Westminster,LONDON,W1,51.48454000000004,0.002750000000048658
305,Maze Hill,Greenwich,LONDON,SE10,51.421700000000044,-0.2079599999999573
306,Merton Park,Merton,LONDON,SW19,51.444630000000075,0.05212000000005901
307,Middle Park,Greenwich,LONDON,SE9,51.52022000000005,-0.054309999999929914
308,Mile End,Tower Hamlets,LONDON,E1,51.615680000000054,-0.2451099999999542
309,Mill Hill,Barnet,LONDON,NW7,51.49713000000003,-0.13828999999992675
310,Millbank,Westminster,LONDON,SW1,51.51122000000004,-0.012639999999976226
311,Millwall,Tower Hamlets,LONDON,E14,51.40262500000006,-0.14363752499997418
312,Mitcham,Merton,MITCHAM,CR4,51.64441500000004,-0.17918542799992565
313,Monken Hadley,Barnet,BARNET,EN5,51.392201353000075,-0.2159499999999639
314,Morden,Merton,MORDEN,SM4,51.392201353000075,-0.2159499999999639
315,Morden Park,Merton,MORDEN,SM4,51.46482000000003,-0.26590999999996257
316,Mortlake,Richmond upon Thames,LONDON,SW14,51.393815000000075,-0.24302518299992926
317,Motspur Park,Kingston upon Thames,NEW MALDEN,KT3,51.444630000000075,0.05212000000005901
318,Mottingham,Bromley,LONDON,SE9,51.59107000000006,-0.14851999999996224
319,Muswell Hill,Haringey and Barnet,LONDON,N10,51.55457000000007,-0.11477999999993926
320,Nag's Head,Islington,LONDON,N7,51.53916000000004,-0.2512299999999641
321,Neasden,Brent,LONDON,"NW2, NW10",51.38475500000004,-0.051498623999975734
322,New Addington,Croydon,CROYDON,CR0,51.64441500000004,-0.17918542799992565
323,New Barnet,Barnet,BARNET,"EN4, EN5",51.47489000000007,-0.04037999999997055
324,New Cross,Lewisham,LONDON,SE14,51.444630000000075,0.05212000000005901
325,New Eltham,Greenwich,LONDON,SE9,51.393815000000075,-0.24302518299992926
326,New Malden,Kingston upon Thames,NEW MALDEN,KT3,51.616310000000055,-0.1383899999999585
327,New Southgate,Barnet,LONDON,N11,51.50642000000005,-0.1272099999999341
328,Newbury Park,Redbridge,ILFORD,IG2,51.487640000000056,-0.09541999999993322
329,Newington,Southwark,LONDON,"SE1, SE17",51.476230000000044,-0.13055999999994583
330,Nine Elms,Wandsworth,LONDON,SW8,51.66208623796546,0.18662121631421688
331,Noak Hill,Havering,ROMFORD,"RM3, RM4",51.35142941071637,-0.24988108535584375
332,Norbiton,Kingston upon Thames,KINGSTON UPON THAMES,KT1,51.41870000000006,-0.12752999999997883
333,Norbury,Croydon,LONDON,SW16,51.452067760578885,0.1722299153689439
334,North Cray,Bexley,SIDCUP,DA14,51.50642000000005,-0.1272099999999341
335,North End,Bexley,ERITH,DA8,51.615920000000074,-0.1767399999999384
336,North Finchley,Barnet,LONDON,N12,51.567890615208455,-0.3394832478241024
337,North Harrow,Harrow,HARROW,"HA1, HA2",51.512440000000026,-0.20638999999994212
338,North Kensington,Kensington and Chelsea,LONDON,"W10, W11",51.54307422088052,0.25011357808526574
339,North Ockendon,Havering,UPMINSTER,RM14,51.50642000000005,-0.1272099999999341
340,North Sheen,Richmond upon Thames,RICHMOND,TW9,51.50913000000003,0.015280000000075233
341,North Woolwich,Newham,LONDON,E16,51.50642000000005,-0.1272099999999341
342,Northolt,Ealing,NORTHOLT,UB5,51.50642000000005,-0.1272099999999341
343,Northumberland Heath,Bexley,ERITH,DA8,51.50642000000005,-0.1272099999999341
344,Northwood,Hillingdon,NORTHWOOD,HA6,51.50642000000005,-0.1272099999999341
345,Norwood Green,Ealing,SOUTHALL,UB2,51.512440000000026,-0.20638999999994212
346,Notting Hill,Kensington and Chelsea,LONDON,W11,51.47218000000004,-0.0677899999999454
347,Nunhead,Southwark,LONDON,SE15,51.63261000000006,-0.17561999999992395
348,Oakleigh Park,Barnet,LONDON,N20,51.50642000000005,-0.1272099999999341
349,Old Coulsdon,Croydon,COULSDON,CR5,51.52702000000005,-0.02593999999993457
350,Old Ford,Tower Hamlets,LONDON,E3,51.50642000000005,-0.1272099999999341
351,Old Malden,Kingston upon Thames,WORCESTER PARK,KT4,51.53916000000004,-0.2512299999999641
352,Old Oak Common,Hammersmith and Fulham,LONDON,NW10,51.50642000000005,-0.1272099999999341
353,Orpington,Bromley,ORPINGTON,"BR5, BR6",51.63429000000008,-0.13365999999996347
354,Osidge,Barnet,LONDON,N14,51.474388935888705,-0.3439650135885245
355,Osterley,Hounslow,ISLEWORTH,TW7,51.49084000000005,-0.11107999999995855
356,Oval,Lambeth,LONDON,"SW8, SW9, SE11",51.51494000000008,-0.1804799999999318
357,Paddington,Westminster,LONDON,W2,51.620040000000074,-0.10663999999997031
358,Palmers Green,Enfield,LONDON,N13,51.53916000000004,-0.2512299999999641
359,Park Royal,"Brent, Ealing",LONDON,NW10,51.47772000000003,-0.2014499999999657
360,Parsons Green,Hammersmith and Fulham,LONDON,SW6,51.47218000000004,-0.0677899999999454
361,Peckham,Southwark,LONDON,SE15,51.41009000000008,-0.05682999999993399
362,Penge,Bromley,LONDON,SE20,51.53792000000004,-0.09982999999994036
363,Pentonville,Islington,LONDON,N1,51.50642000000005,-0.1272099999999341
364,Perivale,Ealing,GREENFORD,UB6,51.44075000000004,-0.28208817499995575
365,Petersham,Richmond upon Thames,RICHMOND,TW10,51.50642000000005,-0.1272099999999341
366,Petts Wood,Bromley,ORPINGTON,BR5,51.49713000000003,-0.13828999999992675
367,Pimlico,Westminster,LONDON,SW1,51.61291065511444,-0.37696639802957227
368,Pinner,Harrow,PINNER,HA5,51.52653000000004,0.02876000000003387
369,Plaistow,Newham,LONDON,E13,51.41671000000008,0.00904221200005395
370,Plaistow,Bromley,BROMLEY,BR1,51.48207000000008,0.07143000000002075
371,Plumstead,Greenwich,LONDON,SE18,51.64322000000004,-0.04379024499996831
372,Ponders End,Enfield,ENFIELD,"EN1, EN3",51.51122000000004,-0.012639999999976226
373,Poplar,Tower Hamlets,LONDON,E14,51.50642000000005,-0.1272099999999341
374,Pratt's Bottom,Bromley,ORPINGTON,BR6,51.55076000268121,-0.29333510060184487
375,Preston,Brent,WEMBLEY,HA9,51.53398000000004,-0.17377999999996518
376,Primrose Hill,Camden,LONDON,"NW1, NW3, NW8",51.50642000000005,-0.1272099999999341
377,Purley,Croydon,PURLEY,CR8,51.457550000000026,-0.21844999999996162
378,Putney,Wandsworth,LONDON,SW15,51.541870000000074,-0.1979499999999348
379,Queen's Park,Brent,LONDON,NW6,51.604025000000036,-0.2626288639999643
380,Queensbury,"Harrow, Brent","HARROW, STANMOREEDGWARE, LONDON","HA3, HA7, HA8",51.57950850000002,0.18866474999999266
381,Rainham,Havering,RAINHAM,RM13,51.52022000000005,-0.054309999999929914
382,Ratcliff,Tower Hamlets,LONDON,E1,51.61291065511444,-0.37696639802957227
383,Rayners Lane,Harrow,PINNER,HA5,51.41117000000003,-0.22622999999993
384,Raynes Park,Merton,LONDON,SW20,51.50642000000005,-0.1272099999999341
385,Redbridge,Redbridge,ILFORD,IG4,51.44075000000004,-0.28208817499995575
386,Richmond,Richmond upon Thames,RICHMOND,"TW9, TW10",51.50642000000005,-0.1272099999999341
387,Riddlesdown,Croydon,PURLEY,CR8,51.457550000000026,-0.21844999999996162
388,Roehampton,Wandsworth,LONDON,SW15,51.49636583053916,0.23244676903041958
389,Romford,Havering,ROMFORD,RM1,51.49574000000007,-0.051569999999969696
390,Rotherhithe,Southwark,LONDON,SE16,51.50642000000005,-0.1272099999999341
391,Ruislip,Hillingdon,RUISLIP,HA4,51.574087509792236,0.16794020563662185
392,Rush Green,Barking and Dagenham,ROMFORD,RM7,51.451503102295796,0.17638251139068692
393,Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON","DA14, BR5",51.50642000000005,-0.1272099999999341
394,Sanderstead,Croydon,SOUTH CROYDON,CR2,51.47772000000003,-0.2014499999999657
395,Sands End,Hammersmith and Fulham,LONDON,SW6,51.39925000000005,-0.07413999999994303
396,Selhurst,Croydon,LONDON,SE25,51.50642000000005,-0.1272099999999341
397,Selsdon,Croydon,SOUTH CROYDON,CR2,51.50642000000005,-0.1272099999999341
398,Seven Kings,Redbridge,ILFORD,IG3,51.58151000000004,-0.07589999999993324
399,Seven Sisters,Haringey,LONDON,N15,51.56350000000003,-0.07312999999993508
400,Shacklewell,Hackney,LONDON,"E8, N16",51.52022000000005,-0.054309999999929914
401,Shadwell,Tower Hamlets,LONDON,E1,51.50645000000003,-0.2369099999999662
402,Shepherd's Bush,Hammersmith and Fulham,LONDON,W12,51.38475500000004,-0.051498623999975734
403,Shirley,Croydon,CROYDON,CR0,51.48207000000008,0.07143000000002075
404,Shooter's Hill,Greenwich,LONDON,SE18,51.53792000000004,-0.09982999999994036
405,Shoreditch,Hackney,LONDON,N1,51.451503102295796,0.17638251139068692
406,Sidcup,Bexley,SIDCUP,"DA14, DA15",51.50913000000003,0.015280000000075233
407,Silvertown,Newham,LONDON,E16,51.50642000000005,-0.1272099999999341
408,Sipson,Hillingdon,WEST DRAYTON,UB7,51.50642000000005,-0.1272099999999341
409,Slade Green,Bexley,ERITH,DA8,51.576760000000036,0.027230000000031396
410,Snaresbrook,"Redbridge, Waltham Forest",LONDON,E11,51.51656000000003,-0.14769999999992933
411,Soho,Westminster,LONDON,W1,51.53354000000007,-0.1460599999999772
412,Somerstown,Camden,LONDON,NW1,51.50642000000005,-0.1272099999999341
413,South Croydon,Croydon,SOUTH CROYDON,CR2,51.53777000000008,-0.04479999999995243
414,South Hackney,Hackney,LONDON,E9,51.50642000000005,-0.1272099999999341
415,South Harrow,Harrow,HARROW,HA2,51.57950850000002,0.18866474999999266
416,South Hornchurch,Havering,RAINHAM,RM13,51.49807000000004,-0.17403999999993403
417,South Kensington,Kensington and Chelsea,LONDON,"SW7, SW3, SW5",51.39925000000005,-0.07413999999994303
418,South Norwood,Croydon,LONDON,SE25,51.50642000000005,-0.1272099999999341
419,South Ruislip,Hillingdon,RUISLIP,HA4,51.421700000000044,-0.2079599999999573
420,South Wimbledon,Merton,LONDON,SW19,51.589770000000044,0.030520000000024083
421,South Woodford,Redbridge,LONDON,E18,51.58151000000004,-0.07589999999993324
422,South Tottenham,Haringey,LONDON,"N15, N17",51.43722000000008,-0.018679999999960728
423,Southend,Lewisham,LONDON,SE6,51.50642000000005,-0.1272099999999341
424,Southall,Ealing,SOUTHALL,"UB1, UB2",51.50642000000005,-0.1272099999999341
425,Southborough,Bromley,BROMLEY,BR2,51.45066000000003,-0.18996999999995978
426,Southfields,Wandsworth,LONDON,"SW18, SW19",51.63429000000008,-0.13365999999996347
427,Southgate,Enfield,LONDON,N14,51.52022000000005,-0.054309999999929914
428,Spitalfields,Tower Hamlets,LONDON,E1,51.392201353000075,-0.2159499999999639
429,St Helier,Merton,MORDEN,SM4,51.49713000000003,-0.13828999999992675
430,St James's,Westminster,LONDON,SW1,51.45374249766627,-0.32996134872866295
431,St Margarets,Richmond upon Thames,TWICKENHAM,TW1,51.51651000000004,-0.11967999999995982
432,St Giles,Camden,LONDON,WC2,51.462680000000034,-0.035579999999924894
433,St Johns,Lewisham,LONDON,SE4,51.53398000000004,-0.17377999999996518
434,St John's Wood,Westminster,LONDON,NW8,51.523610000000076,-0.09876999999994496
435,St Luke's,Islington,LONDON,EC1,51.50642000000005,-0.1272099999999341
436,St Mary Cray,Bromley,ORPINGTON,BR5,51.524500000000046,-0.12272999999993317
437,St Pancras,Camden,LONDON,WC1,51.50642000000005,-0.1272099999999341
438,St Paul's Cray,Bromley,ORPINGTON,BR5,51.58151000000004,-0.07589999999993324
439,Stamford Hill,Hackney,LONDON,"N15, N16",51.62043771181625,-0.30130161650491155
440,Stanmore,Harrow,STANMORE,HA7,51.52022000000005,-0.054309999999929914
441,Stepney,Tower Hamlets,LONDON,E1,51.476230000000044,-0.13055999999994583
442,Stockwell,Lambeth,LONDON,"SW8, SW9",51.56350000000003,-0.07312999999993508
443,Stoke Newington,Hackney,LONDON,N16,51.53916000000004,-0.2512299999999641
444,Stonebridge,Brent,LONDON,NW10,51.540140000000065,0.0027800000000297587
445,Stratford,Newham,LONDON,E15,51.45374249766627,-0.32996134872866295
446,Strawberry Hill,Richmond upon Thames,TWICKENHAM,"TW1, TW2",51.41870000000006,-0.12752999999997883
447,Streatham,Lambeth,LONDON,SW16,51.56878000000006,-0.09846999999996342
448,Stroud Green,Haringey,LONDON,N4,51.567890615208455,-0.3394832478241024
449,Sudbury,"Brent, Ealing, Harrow","HARROW, WEMBLEY","HA0, HA1",51.41671000000008,0.00904221200005395
450,Sundridge,Bromley,BROMLEY,BR1,51.50642000000005,-0.1272099999999341
451,Surbiton,Kingston upon Thames,SURBITON,"KT5, KT6",51.49574000000007,-0.051569999999969696
452,Surrey Quays,Southwark,LONDON,SE16,51.50642000000005,-0.1272099999999341
453,Sutton,Sutton,SUTTON,"SM1, SM2",51.555060000000026,-0.1734799999999268
454,Swiss Cottage,Camden,LONDON,NW3,51.42674000000005,-0.05532999999996946
455,"Sydenham (also Lower Sydenham, Upper Sydenham)","Lewisham, Bromley",LONDON,SE26,51.44100000000003,-0.08896999999996069
456,Sydenham Hill,"Lewisham, Southwark",LONDON,"SE21, SE26",51.45374249766627,-0.32996134872866295
457,Teddington,Richmond upon Thames,TEDDINGTON,TW11,51.51389000000006,-0.10433999999997923
458,Temple,"City, Westminster",LONDON,"EC4, WC2",51.64441500000004,-0.17918542799992565
459,Temple Fortune,Barnet[16],BARNET,EN5,51.50527000000005,0.12013000000007423
460,Thamesmead,"Bexley, Greenwich","LONDON, ERITH","SE28, SE2, DA18",51.39631500000007,-0.10660837699992953
461,Thornton Heath,Croydon,THORNTON HEATH,CR7,51.55076000268121,-0.29333510060184487
462,Tokyngton,Brent,WEMBLEY,HA9,51.50642000000005,-0.1272099999999341
463,Tolworth,Kingston upon Thames,SURBITON,"KT5, KT6",51.43037000000004,-0.1655799999999772
464,Tooting,Wandsworth,LONDON,SW17,51.43037000000004,-0.1655799999999772
465,Tooting Bec,Wandsworth,LONDON,SW17,51.58151000000004,-0.07589999999993324
466,Tottenham,Haringey,LONDON,"N15, N17",51.58151000000004,-0.07589999999993324
467,Tottenham Green,Haringey,LONDON,N15,51.58151000000004,-0.07589999999993324
468,Tottenham Hale,Haringey,LONDON,"N15, N17",51.63261000000006,-0.17561999999992395
469,Totteridge,Barnet,LONDON,N20,51.51200000000006,-0.08057999999994081
470,Tower Hill,Tower Hamlets,LONDON,EC3,51.56393000000003,-0.12944999999996298
471,Tufnell Park,"Islington, Camden",LONDON,"N7, N19",51.45529000000005,-0.09927999999996473
472,Tulse Hill,Lambeth,LONDON,"SE24, SE27",51.58170000000007,-0.12092999999993026
473,Turnpike Lane,Haringey,LONDON,N8,51.45374249766627,-0.32996134872866295
474,Twickenham,Richmond upon Thames,TWICKENHAM,"TW1, TW2",51.54307422088052,0.25011357808526574
475,Upminster,Havering,UPMINSTER,RM14,51.50642000000005,-0.1272099999999341
476,Upminster Bridge,Havering,HORNCHURCH,RM12,51.558970000000045,-0.05322999999992817
477,Upper Clapton,Hackney,LONDON,E5,51.56393000000003,-0.12944999999996298
478,Upper Holloway,Islington,LONDON,N19,51.41990000000004,-0.08807999999993399
479,Upper Norwood,Croydon,LONDON,SE19,51.451503102295796,0.17638251139068692
480,Upper Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON","DA14, BR5",51.58477000000005,-0.019429999999942993
481,Upper Walthamstow,Waltham Forest,LONDON,E17,51.50642000000005,-0.1272099999999341
482,Upton,Bexley,BEXLEYHEATH,DA6,51.52653000000004,0.02876000000003387
483,Upton Park,Newham,LONDON,"E6, E13",51.50642000000005,-0.1272099999999341
484,Uxbridge,Hillingdon,UXBRIDGE,UB8,51.476230000000044,-0.13055999999994583
485,Vauxhall,Lambeth,LONDON,SW8,51.38475500000004,-0.051498623999975734
486,Waddon,Croydon,CROYDON,CR0,51.37538082912862,-0.15232342204289587
487,Wallington,Sutton,WALLINGTON,SM6,51.58477000000005,-0.019429999999942993
488,Walthamstow,Waltham Forest,LONDON,E17,51.58477000000005,-0.019429999999942993
489,Walthamstow Village,Waltham Forest,LONDON,E17,51.487640000000056,-0.09541999999993322
490,Walworth,Southwark,LONDON,SE17,51.45066000000003,-0.18996999999995978
491,Wandsworth,Wandsworth,LONDON,SW18,51.576760000000036,0.027230000000031396
492,Wanstead,Redbridge,LONDON,E11,51.52022000000005,-0.054309999999929914
493,Wapping,Tower Hamlets,LONDON,E1,51.50642000000005,-0.1272099999999341
494,Wealdstone,Harrow,HARROW,HA3,51.444630000000075,0.05212000000005901
495,Well Hall,Greenwich,LONDON,SE9,51.45907500000004,0.0991206960000568
496,Welling,Bexley,WELLING,DA16,51.55076000268121,-0.29333510060184487
497,Wembley,Brent,WEMBLEY,"HA0, HA9",51.55076000268121,-0.29333510060184487
498,Wembley Park,Brent,WEMBLEY,HA9,51.57950850000002,0.18866474999999266
499,Wennington,Havering,RAINHAM,RM13,51.48563000000007,-0.1814399999999523
500,West Brompton,Kensington and Chelsea,LONDON,SW10,51.50642000000005,-0.1272099999999341
501,West Drayton,Hillingdon,WEST DRAYTON,UB7,51.514530000000036,-0.31950999999997975
502,West Ealing,Ealing,LONDON,W13,51.58151000000004,-0.07589999999993324
503,West Green,Haringey,LONDON,N15,51.56350000000003,-0.07312999999993508
504,West Hackney,Hackney,LONDON,N16,51.540140000000065,0.0027800000000297587
505,West Ham,Newham,LONDON,"E13, E15",51.541870000000074,-0.1979499999999348
506,West Hampstead,Camden,LONDON,NW6,51.50642000000005,-0.1272099999999341
507,West Harrow,Harrow,HARROW,HA2,51.492450000000076,0.12127000000003818
508,West Heath,Bexley,LONDON,SE2,51.58486000000005,-0.24880999999993492
509,West Hendon,Barnet,LONDON,NW9,51.49568000000005,-0.2099299999999289
510,West Kensington,Hammersmith and Fulham,LONDON,W14,51.43407000000008,-0.10374999999993406
511,West Norwood,Lambeth,LONDON,SE27,51.50642000000005,-0.1272099999999341
512,West Wickham,Bromley,WEST WICKHAM,BR4,51.47138000000007,0.023380000000031487
513,Westcombe Park,Greenwich,LONDON,SE3,51.49713000000003,-0.13828999999992675
514,Westminster,Westminster,LONDON,SW1,51.63261000000006,-0.17561999999992395
515,Whetstone,Barnet,LONDON,N20,51.50645000000003,-0.2369099999999662
516,White City,Hammersmith and Fulham,LONDON,W12,51.52022000000005,-0.054309999999929914
517,Whitechapel,Tower Hamlets,LONDON,E1,51.41671000000008,0.00904221200005395
518,Widmore (also Widmore Green),Bromley,BROMLEY,BR1,51.50642000000005,-0.1272099999999341
519,Whitton,Richmond upon Thames,TWICKENHAM,TW2,51.53916000000004,-0.2512299999999641
520,Willesden,Brent,LONDON,NW10,51.48563000000007,-0.1814399999999523
521,Wimbledon,Merton,LONDON,"SW19, SW20",51.63519000000008,-0.09302999999994199
522,Winchmore Hill,Enfield,LONDON,N21,51.60214000000008,-0.11222999999995409
523,Wood Green,Haringey,LONDON,N22,51.589770000000044,0.030520000000024083
524,Woodford,Redbridge,LONDON,"IG8, E18",51.608869076000076,0.015320000000031087
525,Woodford Green,"Redbridge, Waltham Forest","LONDON, WOODFORD GREEN",IG8,51.474388935888705,-0.3439650135885245
526,Woodlands,Hounslow,ISLEWORTH,TW7,51.38475500000004,-0.051498623999975734
527,Woodside,Croydon,CROYDON,CR0,51.615920000000074,-0.1767399999999384
528,Woodside Park,Barnet,LONDON,N12,51.48207000000008,0.07143000000002075
529,Woolwich,Greenwich,LONDON,SE18,51.50642000000005,-0.1272099999999341
530,Worcester Park,"Sutton, Kingston upon Thames",WORCESTER PARK,KT4,51.50645000000003,-0.2369099999999662
531,Wormwood Scrubs,Hammersmith and Fulham,LONDON,W12,51.50642000000005,-0.1272099999999341
532,Yeading,Hillingdon,HAYES,UB4,51.50642000000005,-0.1272099999999341
533,Yiewsley,Hillingdon,WEST DRAYTON,UB7,,
